NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-08-13;2021-08-19;Si;;;640.4976;248.5301;175;21275.5986;13052;1929;2.0428;65;0;53;111;64;127;65;8088;1311;126;163
CATALUNYA;GLOBAL;2021-08-13;2021-08-19;No;236.419;0.840391;281.3197;120.6542;9336;1953.0322;90693;60429;7.8306;830;143;126;3428;5908;3798;5919;70952;53138;132469;139501
CATALUNYA;GLOBAL;2021-08-12;2021-08-18;No;244.176;0.830828;293.8943;124.2340;9613;1976.0748;92078;60827;7.9849;866;162;127;3509;6104;3928;6111;72219;53506;143824;149298
CATALUNYA;GLOBAL;2021-08-12;2021-08-18;--;;;0.0000;0.0000;509;0.0000;9796;44;2.4761;67;16;4;263;246;231;10;9694;39;2490;1155
CATALUNYA;GLOBAL;2021-08-12;2021-08-18;Si;;;666.0607;247.1099;174;21081.0350;12984;1860;2.0019;75;0;61;112;62;124;62;8021;1270;139;189
CATALUNYA;GLOBAL;2021-08-11;2021-08-17;--;;;0.0000;0.0000;533;0.0000;10086;46;2.5958;75;13;2;280;253;250;10;9974;42;2687;1016
CATALUNYA;GLOBAL;2021-08-11;2021-08-17;Si;;;738.4895;240.0090;169;21335.2458;13052;1971;1.8927;74;0;61;106;63;119;62;8240;1323;146;198
CATALUNYA;GLOBAL;2021-08-11;2021-08-17;No;254.792;0.82446;309.0407;130.4244;10092;2001.3662;93784;61078;8.2832;873;166;133;3690;6402;4148;6411;73730;53745;163819;144917
CATALUNYA;GLOBAL;2021-08-10;2021-08-16;No;267.687;0.818378;327.0949;137.6228;10649;2038.9608;95716;62055;8.5356;929;173;130;3942;6707;4381;6706;75282;54609;191286;133581
CATALUNYA;GLOBAL;2021-08-10;2021-08-16;--;;;0.0000;0.0000;537;0.0000;10111;50;2.7218;82;20;1;292;245;265;8;9984;46;2701;999
CATALUNYA;GLOBAL;2021-08-10;2021-08-16;Si;;;783.9350;272.6730;192;22065.2143;13536;2001;2.1214;75;0;61;136;56;152;57;8500;1352;159;200
CATALUNYA;GLOBAL;2021-08-09;2021-08-15;No;283.639;0.811937;349.3363;145.4545;11255;2073.6089;97234;63218;8.9162;975;228;139;4113;7142;4636;7148;76378;55786;188900;128581
CATALUNYA;GLOBAL;2021-08-09;2021-08-15;--;;;0.0000;0.0000;571;0.0000;10014;52;2.9021;94;22;2;301;270;276;12;9877;47;2534;970
CATALUNYA;GLOBAL;2021-08-09;2021-08-15;Si;;;800.9770;293.9756;207;22836.3677;14120;1960;2.1829;80;0;66;140;67;157;66;8890;1326;153;186
